Id;Date;Auteur;Titre;Langue
6334032;;Hezlin Ashraf-Ball and Andrew J. Oswald and James I. Oswald;Hydrogen Transport and the Spatial Requirements of Renewable Energy;English
48223;2009-05-01;Andrew J. Oswald and James I. Oswald and Hezlin Ashraf-Ball;Hydrogen transport and the spatial requirements of renewable energy;English
52955835;2011-01-01;PeiYuan Hsu and Xu Yang and Joshua L. Dibia and Linfeng Zhang;Design of Residential Hydrogen Fueling System in UB Bodine Hall;
70657172;2008-09-24;Maria Antónia Travassos and A. I. Correia de Sá and Paulo P. da Luz and C. M. Rangel;Penetration of hydrogen technologies: study on the environmental impact of road transport in Portugal;
40069044;2007-01-01;Ivo Veldhuis;Application of hydrogen marine systems in high-speed sea container transport;
36736148;2014-09-01;Jason D. Paradis;An assessment of hydrogen as a means to implement the United States Navy's renewable energy initiative;
11238348;2007-01-01;J. Ally and T. Pryor;Life-cycle assessment of diesel, natural gas and hydrogen fuel cell bus transportation systems;
200153317;2010-01-01;Christopher Alan Berridge;Hydrogen as a fuel source for vehicles: Options for a hydrogen bus energy supply system based on economic and environmental considerations;English
54611033;2015;PAOLO GIUSEPPE Mura and Roberto Baccoli and Roberto Innamorati and Stefano Mariotti;Solar Energy System in A Small Town Constituted of A Network of Photovoltaic Collectors to Produce Electricity for Homes and Hydrogen for Transport Services of Municipality;
82314835;2015-11-30;Paolo Giuseppe Mura and Roberto Baccoli and Roberto Innamorati and Stefano Mariotti;Solar Energy System in A Small Town Constituted of A Network of Photovoltaic Collectors to Produce Electricity for Homes and Hydrogen for Transport Services of Municipality ;
52076915;2007;Mads Greaker and Tom-Reiel Heggedal;Lock-in and the transition to hydrogen cars. When should governments intervene?;
71947214;2015-06-01;E. Matthew Washing and Srinivas S. Pulugurtha;Well-to-Wheel Analysis of Electric and Hydrogen Light Rail;English
82761899;2015-08-31;Mohamed Douak and Noureddine Settou;Estimation of Hydrogen Production Using Wind Energy in Algeria ;
82241579;2012-12-31;John Andrews and Bahman Shabani;Where does Hydrogen Fit in a Sustainable Energy Economy? ;
11418054;2010;Manuela Battipede and A. Della Corte and Matteo Vazzola and D. Tancredi;Innovative airplane ground handling system for green operations;
334414203;2019-11-26;Diana Jeleňová and Alan Mortimer and Julia Race and Philipp Thies and Dimitri Mignard;Resource assessment for offshore green hydrogen production;English
82320233;2016-11-14;Farid Alavi and Esther Park Lee and Nathan van de Wouw and Bart De Schutter and Zofia Lukszo;Fuel cell cars in a microgrid for synergies between hydrogen and electricity networks ;
144500915;2012-02-01;오진숙;Influence of Hydrocarbons and Alcohol on the Marine Solid Oxide Fuel Cell System Performance;Korean
327193559;2006-12-31;Mikael Sloth;Hydrogen as transportation fuel - Danish & Scandinavian Activities;English
249952180;2007-01-01;Mads Greaker and Tom-Reiel Heggedal;Lock-in and the transition to hydrogen cars. When should governments intervene?;
79492616;2016;Christina Wulf and Martin Kaltschmitt;Assessing hydrogen production from wind and solar power with an LCA;
