Id,Date,Auteur,Titre,Langue,MotCle,Pays,Vehicule,Marque,Moteur,Stockage,Production,Domaine
6334032,,Hezlin Ashraf-Ball and Andrew J. Oswald and James I. Oswald,Hydrogen Transport and the Spatial Requirements of Renewable Energy,English,Renewable energy / wind power / land use / energy efficiency / wind turbines / transport / environmental / solar / biomass / wave/,,,,,Gaz/,,Energies Renouvelables/Energies Fossiles/
48223,2009-05-01,Andrew J. Oswald and James I. Oswald and Hezlin Ashraf-Ball,Hydrogen transport and the spatial requirements of renewable energy,English,,,,,,Gaz/,,Energies Renouvelables/Energies Fossiles/
52955835,2011-01-01,PeiYuan Hsu and Xu Yang and Joshua L. Dibia and Linfeng Zhang,Design of Residential Hydrogen Fueling System in UB Bodine Hall,,Faculty research day/,,Voiture/,,,Gaz/,,Automobile/Energies Renouvelables/Energies Fossiles/
70657172,2008-09-24,Maria Antónia Travassos and A. I. Correia de Sá and Paulo P. da Luz and C. M. Rangel,Penetration of hydrogen technologies: study on the environmental impact of road transport in Portugal,,Road transport-Portugal/ Pollutant emissions/ COPERT 4/ Hydrogen technologies/,Portugal/,Voiture/,,,,,Transport Personnes/Politique/Automobile/
40069044,2007-01-01,Ivo Veldhuis,Application of hydrogen marine systems in high-speed sea container transport,,130 - Mechanical/ industrial/ civil and marine engineering/ general/ VM Naval architecture. Shipbuilding. Marine engineering/,,Bateau/,,,Liquide/,,Aéronautique/Transport Marchandises/Transport Personnes/Energies Fossiles/Performance/
36736148,2014-09-01,Jason D. Paradis,An assessment of hydrogen as a means to implement the United States Navy's renewable energy initiative,,hydrogen/ energy-ship/ renewable energy/,Islande/Etats-Unis/,Bateau/,,,Gaz/,Electrolyse/,Militaire/Energies Renouvelables/
11238348,2007-01-01,J. Ally and T. Pryor,"Life-cycle assessment of diesel, natural gas and hydrogen fuel cell bus transportation systems",,,Australie/,Bus/,Daimler/,Pile à combustible/,,,Transport Personnes/Automobile/Energies Fossiles/
200153317,2010-01-01,Christopher Alan Berridge,Hydrogen as a fuel source for vehicles: Options for a hydrogen bus energy supply system based on economic and environmental considerations,English,,,Bus/,,,Gaz/Liquide/,,Transport Personnes/Performance/
54611033,2015,PAOLO GIUSEPPE Mura and Roberto Baccoli and Roberto Innamorati and Stefano Mariotti,Solar Energy System in A Small Town Constituted of A Network of Photovoltaic Collectors to Produce Electricity for Homes and Hydrogen for Transport Services of Municipality,,demonstrative project/ fotovoltaic/ hydrogen/,,Voiture/,,,,,Agriculture/Automobile/Energies Renouvelables/
82314835,2015-11-30,Paolo Giuseppe Mura and Roberto Baccoli and Roberto Innamorati and Stefano Mariotti,Solar Energy System in A Small Town Constituted of A Network of Photovoltaic Collectors to Produce Electricity for Homes and Hydrogen for Transport Services of Municipality ,,,,Voiture/,,,,,Agriculture/Automobile/Energies Renouvelables/
